country,active_cases
Afghanistan,9796
Albania,1991
Algeria,7973
Andorra,52
Angola,667
"Antigua and Barbuda",18
Argentina,91782
Armenia,10014
Australia,5825
Austria,1599
Azerbaijan,6781
Bahamas,280
Bahrain,3231
Bangladesh,97577
Barbados,9
Belarus,6221
Belgium,39154
Belize,20
Benin,699
Bhutan,13
Bolivia,47056
"Bosnia and Herzegovina",5274
Botswana,674
Brazil,508116
Brunei,0
Bulgaria,4689
"Burkina Faso",121
Burma,52
Burundi,76
"Cabo Verde",756
Cambodia,79
Cameroon,2180
"Central African Republic",2994
Chad,37
Chile,18782
China,3258
Colombia,117163
Comoros,19
"Congo (Brazzaville)",2317
"Congo (Kinshasa)",2936
"Costa Rica",11902
"Cote d'Ivoire",5198
Croatia,806
Cuba,94
Cyprus,189
Czechia,3715
Denmark,543
Djibouti,24
Dominica,0
"Dominican Republic",32869
Ecuador,40733
Egypt,52992
"El Salvador",6849
"Equatorial Guinea",2178
Eritrea,74
Estonia,42
Eswatini,1257
Ethiopia,7933
Fiji,9
Finland,149
France,108928
Gabon,2458
Gambia,252
Georgia,199
Germany,7673
Ghana,3655
Greece,2651
Greenland,1
Grenada,0
Guatemala,11093
Guinea,753
Guinea-Bissau,1125
Guyana,188
Haiti,2817
"Holy See",0
Honduras,33536
Hungary,523
Iceland,21
India,495499
Indonesia,37292
Iran,22550
Iraq,30983
Ireland,764
Israel,36378
Italy,12581
Jamaica,129
Japan,8174
Jordan,124
Kazakhstan,29659
Kenya,9857
Kosovo,3201
Kuwait,8884
Kyrgyzstan,10790
Laos,1
Latvia,143
Lebanon,2122
Lesotho,365
Liberia,449
Libya,2186
Liechtenstein,4
Lithuania,319
Luxembourg,1384
Madagascar,3339
Malawi,1920
Malaysia,179
Maldives,807
Mali,476
Malta,27
Mauritania,1399
Mauritius,2
Mexico,47657
Moldova,6252
Monaco,8
Mongolia,67
Montenegro,2039
Morocco,4018
Namibia,1734
Nepal,4950
Netherlands,47064
"New Zealand",21
Nicaragua,839
Niger,36
Nigeria,22117
"North Macedonia",4183
Norway,125
Oman,19637
Pakistan,27421
Panama,25034
"Papua New Guinea",51
Paraguay,1600
Peru,98752
Philippines,53649
Poland,8870
Portugal,13205
Qatar,3104
Romania,17902
Russia,201097
Rwanda,899
"Saint Kitts and Nevis",2
"Saint Lucia",2
"Saint Vincent and the Grenadines",13
"San Marino",0
"Sao Tome and Principe",117
"Saudi Arabia",43238
Senegal,3093
Seychelles,75
"Sierra Leone",400
Singapore,5119
Slovakia,537
Slovenia,238
Somalia,1560
"South Africa",170537
"South Korea",896
"South Sudan",1084
Spain,93613
"Sri Lanka",673
Sudan,4765
Suriname,534
Switzerland,1599
Taiwan*,15
Tajikistan,1147
Tanzania,305
Thailand,128
Timor-Leste,24
Togo,249
"Trinidad and Tobago",12
Tunisia,248
Turkey,10920
US,2816444
Uganda,140
Ukraine,28258
"United Arab Emirates",6322
"United Kingdom",254427
Uruguay,216
Uzbekistan,9414
Venezuela,5883
Vietnam,66
"West Bank and Gaza",6791
"Western Sahara",1
Yemen,375
Zambia,1597
Zimbabwe,2126
