country,mortality_rate
"United Kingdom",15.1948
Belgium,14.7859
Italy,14.2566
France,13.7108
Netherlands,11.5328
Mexico,11.1310
Spain,10.4368
Ecuador,6.8161
Ireland,6.8129
Sudan,6.3025
Switzerland,5.7372
Iran,5.4195
China,5.3651
Egypt,5.0302
Indonesia,4.8234
Romania,4.8059
Peru,4.7260
"North Macedonia",4.5628
Denmark,4.4546
Germany,4.4058
Algeria,4.1576
Iraq,3.9597
Kyrgyzstan,3.9074
Guatemala,3.8866
Poland,3.8616
Bolivia,3.7187
Brazil,3.5874
Afghanistan,3.4994
Austria,3.4682
US,3.4499
Portugal,3.4176
Colombia,3.4138
Bulgaria,3.2671
Moldova,3.2305
Japan,3.2047
Honduras,2.9340
"Bosnia and Herzegovina",2.8005
"El Salvador",2.7137
Chile,2.6405
Turkey,2.4800
Ukraine,2.4383
Czechia,2.4040
Philippines,2.3708
Cameroon,2.2852
India,2.2572
Panama,2.1516
Pakistan,2.1299
"South Korea",2.1122
Nigeria,2.0884
Armenia,1.9016
Argentina,1.8272
"Dominican Republic",1.6881
Russia,1.6327
Kenya,1.5855
Ethiopia,1.5673
"South Africa",1.5617
Morocco,1.5129
Azerbaijan,1.3893
Bangladesh,1.3106
Australia,1.0913
"Saudi Arabia",1.0263
Venezuela,0.9132
Belarus,0.8000
Israel,0.7408
"West Bank and Gaza",0.7344
"Costa Rica",0.7260
Kazakhstan,0.6911
Kuwait,0.6803
"Cote d'Ivoire",0.6132
"United Arab Emirates",0.5830
Uzbekistan,0.5705
Oman,0.5100
Ghana,0.4996
Bahrain,0.3571
Nepal,0.2560
Qatar,0.1506
Singapore,0.0531
