country;confirmed
Afghanistan;36263
Albania;4880
Algeria;27973
Andorra;907
Angola;950
"Antigua and Barbuda";86
Argentina;167416
Armenia;37390
Australia;15303
Austria;20558
Azerbaijan;30446
Bahamas;382
Bahrain;39482
Bangladesh;226225
Barbados;110
Belarus;67251
Belgium;66428
Belize;48
Benin;1770
Bhutan;99
Bolivia;71181
"Bosnia and Herzegovina";10498
Botswana;739
Brazil;2442375
Brunei;141
Bulgaria;10621
"Burkina Faso";1100
Burma;350
Burundi;378
"Cabo Verde";2328
Cambodia;226
Cameroon;17110
"Central African Republic";4599
Chad;922
Chile;347923
China;86783
Colombia;257101
Comoros;354
"Congo (Brazzaville)";3200
"Congo (Kinshasa)";8844
"Costa Rica";15841
"Cote d'Ivoire";15655
Croatia;4881
Cuba;2532
Cyprus;1060
Czechia;15516
Denmark;13761
Djibouti;5059
Dominica;18
"Dominican Republic";64156
Ecuador;81161
Egypt;92482
"El Salvador";15035
"Equatorial Guinea";3071
Eritrea;265
Estonia;2034
Eswatini;2316
Ethiopia;14547
Fiji;27
Finland;7398
France;220352
Gabon;7189
Gambia;326
Georgia;1137
Germany;207112
Ghana;33624
Greece;4227
Greenland;14
Grenada;23
Guatemala;45309
Guinea;7055
Guinea-Bissau;1954
Guyana;389
Haiti;7340
"Holy See";12
Honduras;39741
Hungary;4448
Iceland;1854
India;1480073
Indonesia;100303
Iran;293606
Iraq;112585
Ireland;25892
Israel;63985
Italy;246286
Jamaica;853
Japan;31142
Jordan;1176
Kazakhstan;84648
Kenya;17975
Kosovo;7413
Kuwait;64379
Kyrgyzstan;33296
Laos;20
Latvia;1219
Lebanon;3882
Lesotho;505
Liberia;1167
Libya;2827
Liechtenstein;86
Lithuania;2019
Luxembourg;6321
Madagascar;9690
Malawi;3664
Malaysia;8904
Maldives;3369
Mali;2513
Malta;701
Mauritania;6208
Mauritius;344
Mexico;395489
Moldova;23154
Monaco;116
Mongolia;289
Montenegro;2893
Morocco;20887
Namibia;1843
Nepal;18752
Netherlands;53413
"New Zealand";1557
Nicaragua;3439
Niger;1132
Nigeria;41180
"North Macedonia";10213
Norway;9132
Oman;77058
Pakistan;274289
Panama;61442
"Papua New Guinea";62
Paraguay;4548
Peru;389717
Philippines;82040
Poland;43402
Portugal;50299
Qatar;109597
Romania;45902
Russia;816680
Rwanda;1879
"Saint Kitts and Nevis";17
"Saint Lucia";24
"Saint Vincent and the Grenadines";52
"San Marino";699
"Sao Tome and Principe";865
"Saudi Arabia";268934
Senegal;9764
Seychelles;114
"Sierra Leone";1783
Singapore;50838
Slovakia;2181
Slovenia;2087
Somalia;3196
"South Africa";452529
"South Korea";14203
"South Sudan";2305
Spain;272421
"Sri Lanka";2805
Sudan;11424
Suriname;1483
Switzerland;34477
Taiwan*;462
Tajikistan;7235
Tanzania;509
Thailand;3297
Timor-Leste;24
Togo;874
"Trinidad and Tobago";148
Tunisia;1455
Turkey;227019
US;4290259
Uganda;1128
Ukraine;67096
"United Arab Emirates";59177
"United Kingdom";301708
Uruguay;1202
Uzbekistan;21209
Venezuela;15988
Vietnam;431
"West Bank and Gaza";10621
"Western Sahara";10
Yemen;1691
Zambia;4552
Zimbabwe;2704
