country,deaths
Afghanistan,1269
Algeria,1163
Argentina,3059
Bangladesh,2965
Belgium,9822
Bolivia,2647
Brazil,87618
Chile,9187
China,4656
Colombia,8777
"Dominican Republic",1083
Ecuador,5532
Egypt,4652
France,30212
Germany,9125
Guatemala,1761
Honduras,1166
India,33408
Indonesia,4838
Iran,15912
Iraq,4458
Ireland,1764
Italy,35112
Kyrgyzstan,1301
Mexico,44022
Netherlands,6160
Pakistan,5842
Panama,1322
Peru,18418
Philippines,1945
Poland,1676
Portugal,1719
Romania,2206
Russia,13334
"Saudi Arabia",2760
"South Africa",7067
Spain,28432
Switzerland,1978
Turkey,5630
US,148011
Ukraine,1636
"United Kingdom",45844
