country,active
Andorra,52
Angola,667
"Antigua and Barbuda",18
Bahamas,280
Barbados,9
Belize,20
Benin,699
Bhutan,13
Botswana,674
Brunei,0
"Burkina Faso",121
Burma,52
Burundi,76
"Cabo Verde",756
Cambodia,79
Chad,37
Comoros,19
Croatia,806
Cuba,94
Cyprus,189
Denmark,543
Djibouti,24
Dominica,0
Eritrea,74
Estonia,42
Fiji,9
Finland,149
Gambia,252
Georgia,199
Greenland,1
Grenada,0
Guinea,753
Guyana,188
"Holy See",0
Hungary,523
Iceland,21
Ireland,764
Jamaica,129
Jordan,124
Laos,1
Latvia,143
Lesotho,365
Liberia,449
Liechtenstein,4
Lithuania,319
Malaysia,179
Maldives,807
Mali,476
Malta,27
Mauritius,2
Monaco,8
Mongolia,67
"New Zealand",21
Nicaragua,839
Niger,36
Norway,125
"Papua New Guinea",51
Rwanda,899
"Saint Kitts and Nevis",2
"Saint Lucia",2
"Saint Vincent and the Grenadines",13
"San Marino",0
"Sao Tome and Principe",117
Seychelles,75
"Sierra Leone",400
Slovakia,537
Slovenia,238
"South Korea",896
"Sri Lanka",673
Suriname,534
Taiwan*,15
Tanzania,305
Thailand,128
Timor-Leste,24
Togo,249
"Trinidad and Tobago",12
Tunisia,248
Uganda,140
Uruguay,216
Vietnam,66
"Western Sahara",1
Yemen,375
