country,total_cases
Afghanistan,62730
Albania,7769
Algeria,47973
Andorra,1762
Angola,1233
"Antigua and Barbuda",154
Argentina,243050
Armenia,64766
Australia,24781
Austria,39517
Azerbaijan,54111
Bahamas,484
Bahrain,75733
Bangladesh,354873
Barbados,211
Belarus,128281
Belgium,93702
Belize,76
Benin,2841
Bhutan,185
Bolivia,95306
"Bosnia and Herzegovina",15722
Botswana,804
Brazil,4376634
Brunei,282
Bulgaria,16553
"Burkina Faso",2079
Burma,648
Burundi,680
"Cabo Verde",3900
Cambodia,373
Cameroon,32040
"Central African Republic",6204
Chad,1807
Chile,677064
China,170308
Colombia,397039
Comoros,689
"Congo (Brazzaville)",4083
"Congo (Kinshasa)",14752
"Costa Rica",19780
"Cote d'Ivoire",26112
Croatia,8956
Cuba,4970
Cyprus,1931
Czechia,27317
Denmark,26979
Djibouti,10094
Dominica,36
"Dominican Republic",95443
Ecuador,121589
Egypt,131972
"El Salvador",23221
"Equatorial Guinea",3964
Eritrea,456
Estonia,4026
Eswatini,3375
Ethiopia,21161
Fiji,45
Finland,14647
France,331776
Gabon,11920
Gambia,400
Georgia,2075
Germany,406551
Ghana,63593
Greece,5803
Greenland,27
Grenada,46
Guatemala,79525
Guinea,13357
Guinea-Bissau,2783
Guyana,590
Haiti,11863
"Holy See",24
Honduras,45946
Hungary,8373
Iceland,3687
India,2464647
Indonesia,163314
Iran,564662
Iraq,194187
Ireland,51020
Israel,91592
Italy,479991
Jamaica,1577
Japan,54110
Jordan,2228
Kazakhstan,139637
Kenya,26093
Kosovo,11625
Kuwait,119874
Kyrgyzstan,55802
Laos,39
Latvia,2295
Lebanon,5642
Lesotho,645
Liberia,1885
Libya,3468
Liechtenstein,168
Lithuania,3719
Luxembourg,11258
Madagascar,16041
Malawi,5408
Malaysia,17629
Maldives,5931
Mali,4550
Malta,1375
Mauritania,11017
Mauritius,686
Mexico,743321
Moldova,40056
Monaco,224
Mongolia,511
Montenegro,3747
Morocco,37756
Namibia,1952
Nepal,32554
Netherlands,59762
"New Zealand",3093
Nicaragua,6039
Niger,2228
Nigeria,60243
"North Macedonia",16243
Norway,18139
Oman,134479
Pakistan,521157
Panama,97850
"Papua New Guinea",73
Paraguay,7496
Peru,680682
Philippines,110431
Poland,77934
Portugal,87393
Qatar,216090
Romania,73902
Russia,1432263
Rwanda,2859
"Saint Kitts and Nevis",32
"Saint Lucia",46
"Saint Vincent and the Grenadines",91
"San Marino",1398
"Sao Tome and Principe",1613
"Saudi Arabia",494630
Senegal,16435
Seychelles,153
"Sierra Leone",3166
Singapore,96557
Slovakia,3825
Slovenia,3936
Somalia,4832
"South Africa",734521
"South Korea",27510
"South Sudan",3526
Spain,451229
"Sri Lanka",4937
Sudan,18083
Suriname,2432
Switzerland,67355
Taiwan*,909
Tajikistan,13323
Tanzania,713
Thailand,6466
Timor-Leste,24
Togo,1499
"Trinidad and Tobago",284
Tunisia,2662
Turkey,443118
US,5764074
Uganda,2116
Ukraine,105934
"United Arab Emirates",112032
"United Kingdom",348989
Uruguay,2188
Uzbekistan,33004
Venezuela,26093
Vietnam,796
"West Bank and Gaza",14451
"Western Sahara",19
Yemen,3007
Zambia,7507
Zimbabwe,3282
