country,avg_confirmed_per_day
Afghanistan,5180.4286
Albania,697.1429
Algeria,3996.1429
Andorra,129.5714
Angola,135.7143
"Antigua and Barbuda",12.2857
Argentina,23916.5714
Armenia,5341.4286
Australia,2186.1429
Austria,2936.8571
Azerbaijan,4349.4286
Bahamas,54.5714
Bahrain,5640.2857
Bangladesh,32317.8571
Barbados,15.7143
Belarus,9607.2857
Belgium,9489.7143
Belize,6.8571
Benin,252.8571
Bhutan,14.1429
Bolivia,10168.7143
"Bosnia and Herzegovina",1499.7143
Botswana,105.5714
Brazil,348910.7143
Brunei,20.1429
Bulgaria,1517.2857
"Burkina Faso",157.1429
Burma,50.0000
Burundi,54.0000
"Cabo Verde",332.5714
Cambodia,32.2857
Cameroon,2444.2857
"Central African Republic",657.0000
Chad,131.7143
Chile,49703.2857
China,12397.5714
Colombia,36728.7143
Comoros,50.5714
"Congo (Brazzaville)",457.1429
"Congo (Kinshasa)",1263.4286
"Costa Rica",2263.0000
"Cote d'Ivoire",2236.4286
Croatia,697.2857
Cuba,361.7143
Cyprus,151.4286
Czechia,2216.5714
Denmark,1965.8571
Djibouti,722.7143
Dominica,2.5714
"Dominican Republic",9165.1429
Ecuador,11594.4286
Egypt,13211.7143
"El Salvador",2147.8571
"Equatorial Guinea",438.7143
Eritrea,37.8571
Estonia,290.5714
Eswatini,330.8571
Ethiopia,2078.1429
Fiji,3.8571
Finland,1056.8571
France,31478.8571
Gabon,1027.0000
Gambia,46.5714
Georgia,162.4286
Germany,29587.4286
Ghana,4803.4286
Greece,603.8571
Greenland,2.0000
Grenada,3.2857
Guatemala,6472.7143
Guinea,1007.8571
Guinea-Bissau,279.1429
Guyana,55.5714
Haiti,1048.5714
"Holy See",1.7143
Honduras,5677.2857
Hungary,635.4286
Iceland,264.8571
India,211439.0000
Indonesia,14329.0000
Iran,41943.7143
Iraq,16083.5714
Ireland,3698.8571
Israel,9140.7143
Italy,35183.7143
Jamaica,121.8571
Japan,4448.8571
Jordan,168.0000
Kazakhstan,12092.5714
Kenya,2567.8571
Kosovo,1059.0000
Kuwait,9197.0000
Kyrgyzstan,4756.5714
Laos,2.8571
Latvia,174.1429
Lebanon,554.5714
Lesotho,72.1429
Liberia,166.7143
Libya,403.8571
Liechtenstein,12.2857
Lithuania,288.4286
Luxembourg,903.0000
Madagascar,1384.2857
Malawi,523.4286
Malaysia,1272.0000
Maldives,481.2857
Mali,359.0000
Malta,100.1429
Mauritania,886.8571
Mauritius,49.1429
Mexico,56498.4286
Moldova,3307.7143
Monaco,16.5714
Mongolia,41.2857
Montenegro,413.2857
Morocco,2983.8571
Namibia,263.2857
Nepal,2678.8571
Netherlands,7630.4286
"New Zealand",222.4286
Nicaragua,491.2857
Niger,161.7143
Nigeria,5882.8571
"North Macedonia",1459.0000
Norway,1304.5714
Oman,11008.2857
Pakistan,39184.1429
Panama,8777.4286
"Papua New Guinea",8.8571
Paraguay,649.7143
Peru,55673.8571
Philippines,11720.0000
Poland,6200.2857
Portugal,7185.5714
Qatar,15656.7143
Romania,6557.4286
Russia,116668.5714
Rwanda,268.4286
"Saint Kitts and Nevis",2.4286
"Saint Lucia",3.4286
"Saint Vincent and the Grenadines",7.4286
"San Marino",99.8571
"Sao Tome and Principe",123.5714
"Saudi Arabia",38419.1429
Senegal,1394.8571
Seychelles,16.2857
"Sierra Leone",254.7143
Singapore,7262.5714
Slovakia,311.5714
Slovenia,298.1429
Somalia,456.5714
"South Africa",64647.0000
"South Korea",2029.0000
"South Sudan",329.2857
Spain,38917.2857
"Sri Lanka",400.7143
Sudan,1632.0000
Suriname,211.8571
Switzerland,4925.2857
Taiwan*,66.0000
Tajikistan,1033.5714
Tanzania,72.7143
Thailand,471.0000
Timor-Leste,3.4286
Togo,124.8571
"Trinidad and Tobago",21.1429
Tunisia,207.8571
Turkey,32431.2857
US,612894.1429
Uganda,161.1429
Ukraine,9585.1429
"United Arab Emirates",8453.8571
"United Kingdom",43101.1429
Uruguay,171.7143
Uzbekistan,3029.8571
Venezuela,2284.0000
Vietnam,61.5714
"West Bank and Gaza",1517.2857
"Western Sahara",1.4286
Yemen,241.5714
Zambia,650.2857
Zimbabwe,386.2857
