country,death_percentage
Afghanistan,3.4994
Albania,2.9508
Algeria,4.1576
Andorra,5.7332
Angola,4.3158
"Antigua and Barbuda",3.4884
Argentina,1.8272
Armenia,1.9016
Australia,1.0913
Austria,3.4682
Azerbaijan,1.3893
Bahamas,2.8796
Bahrain,0.3571
Bangladesh,1.3106
Barbados,6.3636
Belarus,0.8000
Belgium,14.7859
Belize,4.1667
Benin,1.9774
Bhutan,0.0000
Bolivia,3.7187
"Bosnia and Herzegovina",2.8005
Botswana,0.2706
Brazil,3.5874
Brunei,2.1277
Bulgaria,3.2671
"Burkina Faso",4.8182
Burma,1.7143
Burundi,0.2646
"Cabo Verde",0.9450
Cambodia,0.0000
Cameroon,2.2852
"Central African Republic",1.2829
Chad,8.1345
Chile,2.6405
China,5.3651
Colombia,3.4138
Comoros,1.9774
"Congo (Brazzaville)",1.6875
"Congo (Kinshasa)",2.3519
"Costa Rica",0.7260
"Cote d'Ivoire",0.6132
Croatia,2.8478
Cuba,3.4360
Cyprus,1.7925
Czechia,2.4040
Denmark,4.4546
Djibouti,1.1465
Dominica,0.0000
"Dominican Republic",1.6881
Ecuador,6.8161
Egypt,5.0302
"El Salvador",2.7137
"Equatorial Guinea",1.6607
Eritrea,0.0000
Estonia,3.3923
Eswatini,1.4680
Ethiopia,1.5673
Fiji,0.0000
Finland,4.4471
France,13.7108
Gabon,0.6816
Gambia,2.4540
Georgia,1.4072
Germany,4.4058
Ghana,0.4996
Greece,4.7788
Greenland,0.0000
Grenada,0.0000
Guatemala,3.8866
Guinea,0.6378
Guinea-Bissau,1.3306
Guyana,5.1414
Haiti,2.1526
"Holy See",0.0000
Honduras,2.9340
Hungary,13.3993
Iceland,0.5394
India,2.2572
Indonesia,4.8234
Iran,5.4195
Iraq,3.9597
Ireland,6.8129
Israel,0.7408
Italy,14.2566
Jamaica,1.1723
Japan,3.2047
Jordan,0.9354
Kazakhstan,0.6911
Kenya,1.5855
Kosovo,2.4956
Kuwait,0.6803
Kyrgyzstan,3.9074
Laos,0.0000
Latvia,2.5431
Lebanon,1.3138
Lesotho,2.3762
Liberia,6.1697
Libya,2.2639
Liechtenstein,1.1628
Lithuania,3.9624
Luxembourg,1.7719
Madagascar,0.9391
Malawi,2.7020
Malaysia,1.3926
Maldives,0.4452
Mali,4.9343
Malta,1.2839
Mauritania,2.5129
Mauritius,2.9070
Mexico,11.1310
Moldova,3.2305
Monaco,3.4483
Mongolia,0.0000
Montenegro,1.5555
Morocco,1.5129
Namibia,0.4341
Nepal,0.2560
Netherlands,11.5328
"New Zealand",1.4130
Nicaragua,3.1404
Niger,6.0954
Nigeria,2.0884
"North Macedonia",4.5628
Norway,2.7924
Oman,0.5100
Pakistan,2.1299
Panama,2.1516
"Papua New Guinea",0.0000
Paraguay,0.9455
Peru,4.7260
Philippines,2.3708
Poland,3.8616
Portugal,3.4176
Qatar,0.1506
Romania,4.8059
Russia,1.6327
Rwanda,0.2661
"Saint Kitts and Nevis",0.0000
"Saint Lucia",0.0000
"Saint Vincent and the Grenadines",0.0000
"San Marino",6.0086
"Sao Tome and Principe",1.6185
"Saudi Arabia",1.0263
Senegal,1.9869
Seychelles,0.0000
"Sierra Leone",3.7016
Singapore,0.0531
Slovakia,1.2838
Slovenia,5.5582
Somalia,2.9099
"South Africa",1.5617
"South Korea",2.1122
"South Sudan",1.9957
Spain,10.4368
"Sri Lanka",0.3922
Sudan,6.3025
Suriname,1.6183
Switzerland,5.7372
Taiwan*,1.5152
Tajikistan,0.8293
Tanzania,4.1257
Thailand,1.7592
Timor-Leste,0.0000
Togo,2.0595
"Trinidad and Tobago",5.4054
Tunisia,3.4364
Turkey,2.4800
US,3.4499
Uganda,0.1773
Ukraine,2.4383
"United Arab Emirates",0.5830
"United Kingdom",15.1948
Uruguay,2.9118
Uzbekistan,0.5705
Venezuela,0.9132
Vietnam,0.0000
"West Bank and Gaza",0.7344
"Western Sahara",10.0000
Yemen,28.5630
Zambia,3.0756
Zimbabwe,1.3314
